Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Main language at work,Company size,Company type,Totalcomp
27,Male,Rome,Data Scientist,2,0,Junior,SQL,Italian,1000+,Consulting / Agency,28300
31,Male,Munich,Professor,10,2,Lead,Python,German,101-1000,Education,80000
27,Female,Munich,Backend Developer,6,4,Senior,Java,English,101-1000,Product,95600
29,Male,Bonn,Data Scientist,2,2,Middle,Python,English,1000+,Product,55200
29,Male,Berlin,AI Management,6,6,Head,Python,German,1000+,Product,106000
34,Male,Berlin,Backend Developer,14,6,Lead,Kotlin,English,1000+,Startup,196000
35,Male,Luttich,Data Scientist,12,0,Lead,Python,English,1000+,Product,180000
54,Male,Milano,Sales ,31,6,Head,Network Automation,English,11-50,Consulting / Agency,210000
31,Male,Berlin,Software Engineer,6,4,Senior,Kotlin,English,1000+,Product,189000
30,Male,Bielefeld,Software Engineer,5,3,Junior,C++,German,11-50,Product,110000
36,Male,Zurich,Backend Developer,15,2,Senior,C++,English,1000+,Product,272000
24,Male,Berlin,Backend Developer,1,1,Working Student,Python,German,up to 10,Startup,#VALUE!
28,Male,Frankfurt,XR Developer,8,1,Lead,C#,English,11-50,Startup,27000
36,Male,Hamburg,Data Scientist,2,10,Middle,Python,English,11-50,Product,63000
26,Male,Berlin,DevOps,5,2,Middle,"Kubernetes, Terraform, GCP",English,11-50,Startup,72000
36,Male,Munich,DevOps,14,6,Middle,PowerShell,German,101-1000,Consulting / Agency,70000
33,Male,Berlin,Backend Developer,13,1.5,Senior,Python,English,51-100,Startup,83000
35,Male,Berlin,Data Engineer,6,6,Senior,Java,English,11-50,Startup,400000
36,Male,Berlin,Frontend Developer,6,4,Middle,JavaScript,English,101-1000,Product,58000
35,Male,Berlin,Software Engineer,2,2,Middle,"python, scala",English,1000+,Product,50500
29,Male,Berlin,Backend Developer,9,6,Senior,Java,English,51-100,Startup,75000
29,Male,Berlin,DevOps,11,7,Lead,TypeScript,English,up to 10,Startup,140000
32,Male,Hamburg,Backend Developer,14,6,Lead,Java,English,101-1000,Startup,85000
32,Female,Berlin,Engineering Team Lead,10,6,Lead,QA,English,101-1000,Product,68250
30,Male,Berlin,Software Engineer,7,1,Senior,python,English,11-50,Startup,49000
30,Male,Munich,Data Scientist,2,2,Middle,Python,English,11-50,Startup,55000
30,Male,Berlin,ML Engineer,6,2,Middle,Python,English,51-100,Startup,59000
30,Male,Frankfurt,Data Scientist,5,4,Middle,Python,English,11-50,Startup,52500
48,Male,Madrid,DevOps,15,0,Senior,Python,English,up to 10,Startup,30000
31,Male,Berlin,Data Analyst,7,6,Senior,Sql,English,101-1000,Startup,103000
38,Male,Cologne,Software Engineer,15,5,Senior,C#,English,up to 10,Product,66000
22,Male,Istanbul,Backend Developer,3,0,Middle,PHP,English,up to 10,Startup,10001
28,Male,warsaw,Data Scientist,3,0,Middle,Python,English,101-1000,Product,60000
29,Male,Berlin,Data Scientist,5,2,Senior,Python,English,11-50,Startup,75000
34,Male,Munich,Frontend Developer,5,4,Senior,Javascript / Typescript,English,101-1000,Product,108000
27,Male,Berlin,Frontend Developer,5,1,Middle,"Javascript, Angular",English,101-1000,Startup,116000
34,Male,Berlin,ML Engineer,3,3,Senior,Python,English,101-1000,Product,70000
28,Male,Wolfsburg,Software Engineer,2,1,Junior,C,English,101-1000,Product,48000
40,Male,Mannheim,Software Engineer,9,9,Middle,C,English,1000+,Product,93000
27,Male,Cologne,Software Engineer,1,1,Junior,C++,German,11-50,Product,90000
35,Female,Munich,Data Scientist,5,2,Senior,"SAS,SQL,Python",English,1000+,Bank,85000
29,Male,London,Software Engineer,9,0,Senior,Typescript,English,1000+,Corporation ,283000
38,Male,Munich,Product Manager,12,12,Senior,Node,English,1000+,Product,88000
32,Male,Berlin,Data Engineer,7,5,Senior,Python/SQL,English,101-1000,Product,164000
37,Male,Berlin,Data Scientist,10,10,Senior,Python,English,101-1000,Product,82000
29,Male,Karlsruhe,DevOps,6,5,Senior,"php, js, python, docker",English,11-50,Startup,74250
32,Male,Frankfurt,Software Engineer,7,7,Senior,"C, Matlab",German,51-100,Product,74000
40,Male,Hildesheim,Software Engineer,16,3,Senior,C++,English,1000+,Product,77000
39,Male,Berlin,Software Engineer,12,6,Lead,Javascript,English,1000+,Product,84000
32,Male,Vienna,DataOps Team Lead,10,10,Lead,Java,German,1000+,Transport & Logistics,120000
26,Female,Berlin,Backend Developer,5,0,Middle,Java,English,1000+,Product,140000
30,Male,Berlin,Software Engineer,9,1,Middle,"TypeScript, Kotlin",English,1000+,Product,77000
32,Female,Munich,Data Scientist,5,5,Senior,Python ,German,1000+,Product,80000
32,Male,Munich,Software Engineer,8,1,Senior,C++,English,101-1000,Consulting / Agency,65000
31,Male,Helsinki,Software Engineer,5,0,Middle,Java,English,51-100,Product,125511
30,Male,Berlin,Software Engineer,10,6,Senior,Ruby,English,1000+,Product,120000
30,Male,Munich,Software Sales,12,2,Senior,Cloud,English,1000+,Product,170000
30,Female,Berlin,QA Engineer,8,6,Senior,Javascript,English,101-1000,Product,70000
25,Male,Hamburg,Backend Developer,5,1,Middle,Java,English,1000+,Product,107000
26,Male,Munich,Software Engineer,4,0,Middle,JavaScript / TypeScript,English,101-1000,Startup,157500
39,Male,Siegen,Software Engineer,16,6,Senior,Embedded,Russian,1000+,Product,67400
35,Male,Murnau am Staffelsee ,Beikoch,1,1,Middle,Apotheker,German,up to 10,Biergarten ,31000
38,Male,Munich,Software Engineer,16,5,Senior,.net,English,101-1000,Product,90000
32,Male,Innsbruck,Data Scientist,3,0,Senior,Python,English,1000+,Product,65000
30,Female,Munich,Frontend Developer,9,3,Senior,"JavaScript, TypeScript",English,1000+,Product,64000
34,Male,Berlin,Backend Developer,10,4,Middle,Java,English,101-1000,Product,66400
36,Male,Stockholm,Mobile Developer,14,7,Senior,Java,English,1000+,Product,80000
26,Female,Hannover,QA Engineer,2,"0,3",Middle,Tricentis Tosca,German,1000+,Non-tech retail,32000
28,Female,Berlin,Data Analyst,3,2.5,Middle,SQL,English,101-1000,Product,53000
25,Male,Berlin,Software Engineer,6,0,Middle,Scala,English,1000+,Product,66000
28,Male,Berlin,Data Scientist,6,6,Lead,"Python, SQL",English,51-100,Consulting / Agency,78000
26,Male,Berlin,QA Engineer,4,1,Middle,Swift/Kotlin,English,51-100,Startup,55500
35,Male,Berlin,Software Engineer,20,5,Senior,JavaScript,English,1000+,Product,100000
23,Female,Berlin,Data analyst ,1,1,Junior,Sql ,English,1000+,Startup,72000
28,Male,Munich,Software Engineer,3,3,Junior,.NET,English,1000+,Finance,78000
36,Male,Berlin,Software Engineer,10,10,Principal,Java & Distributed Systems Stuff,English,1000+,Product,135000
30,Male,Heidelberg,Software Engineer,9,4,Senior,.NET,English,1000+,Research,62000
30,Male,Heidelberg,Software Engineer,9,4,Senior,.NET,English,1000+,Research,62000
28,Male,Zurich,Software Engineer,6,0,Middle,C++,German,11-50,Product,118000
29,Male,Berlin,Frontend Developer,5,5,Middle,javascript,English,1000+,Product,66000
26,Female,Prague,Software Engineer,4,1,Middle,C#,"Russian, English",1000+,Product,64000
26,Male,Berlin,Product Analyst,4,3,Middle,Python,English,1000+,Product,55000
31,Male,Munich,Software Engineer,5,2,Middle,Java,English,1000+,Product,77000
34,Female,Hildesheim ,QA Engineer,11,2,Senior,QA,German,1000+,Product,62000
34,Male,Hamburg,DevOps,8,1,Senior,Embedded,English,101-1000,Product,70300
36,Male,Munich,Software Engineer,13,5,Head,Java,English,101-1000,Product,95000
36,Male,Berlin,DevOps,17,4,Head,Python,English,101-1000,Product,231000
31,Male,Berlin,Software Engineer,7,2,Senior,Java,English,101-1000,Product,87500
28,Male,Munich,Software Engineer,8,1,Senior,PHP,English,51-100,Product,57000
28,Male,Munich,Software Engineer,8,1,Senior,PHP,English,51-100,Product,57000
36,Male,Berlin,Backend Developer,16,8,Lead,Scala,English,101-1000,Startup,240000
22,Female,Eindhoven,Frontend Developer,2,-,Junior,JS,English,11-50,Product,#VALUE!
30,Male,Berlin,Backend Developer,4,2,Middle,python,English,101-1000,Product,58000
35,Male,Berlin,Software Engineer,12,6,Middle,Kotlin,English,1000+,Product,170000
30,Male,Berlin,Software Engineer,10,2,Middle,iOS,English,101-1000,Product,71000
36,Male,Bonn,DevOps,15,1,Junior,jenkins bash,English,11-50,Product,52500
28,Male,Cologne,Software Engineer,5,1,Middle,Java,Russian,101-1000,Product,100000
42,Male,Berlin,Backend Developer,19,3,Senior,PHP,English,101-1000,Product,70000
34,Male,Berlin,Backend Developer,14,4,Senior,Kotlin,English,1000+,Product,220000
27,Male,Hamburg,Backend Developer,0,0,Junior,Python,English,up to 10,Startup,55000
36,Female,Berlin,Data Scientist,5,5,Senior,Python,English,1000+,Product,102000
31,Male,Berlin,Software Engineer,4,4,Senior,Python,English,101-1000,Startup,68000
32,Female,Munich,It Consulting ,2,2,Junior,Test Management ,German,1000+,Consulting / Agency,55500
32,Male,Berlin,Software Engineer,13,5,Lead,JavaScript,English,1000+,Product,86000
36,Male,Prefer not to say,ML Engineer,6,6,Senior,Python,English,101-1000,Startup,135000
26,Male,Munich,Software Engineer,6,2,Senior,TypeScript,English,11-50,Startup,103000
28,Female,Berlin,Data Scientist,4,2,Middle,Python,English,1000+,Product,154100
34,Male,Munich,Data Scientist,10,10,Senior,Python,English,101-1000,Consulting / Agency,105000
38,Male,Berlin,Data Scientist,10,9,Senior,Python,German,101-1000,Product,87550
37,Male,Berlin,Software Engineer,16,8,Senior,Java,English,101-1000,Product,80000
31,Male,Berlin,Backend Developer,9,1,Senior,NodeJS/TS,English,51-100,Startup,70000
38,Male,Berlin,Backend Developer,15,1,Middle,PHP/MySQL,English,11-50,Consulting / Agency,40700
25,Male,Hamburg,ML Engineer,2,2,Middle,Python,German,11-50,Product,125000
33,Female,Berlin,Frontend Developer,13,4,Middle,"Angular, TypeScript",English,1000+,Product,51545
39,Female,Berlin,Data Scientist,2.5,2,Junior,python,English,up to 10,corporate incubator,120000
25,Male,Hamburg,Software Engineer,1,1,Junior,C#,German,51-100,Startup,43500
30,Female,Berlin,Software Engineer,7,3,Senior,Java,English,51-100,Product,60000
35,Male,Munich,Software Engineer,14,1,Senior,C++,English,1000+,Product,126000
25,Male,Cologne,ML Engineer,2,2,Middle,"NLP, Python",English,up to 10,Startup,54000
31,Male,Berlin,Software Engineer,4,1,Senior,Java,English,1000+,Product,69000
25,Female,Amsterdam,Data Scientist,1.5,0,Middle,Python,English,11-50,Startup,50350
27,Male,Dusseldurf,Backend Developer,2,0,Middle,PHP,English,101-1000,Product,50000
37,Male,Berlin,Software Engineer,12,6,Middle,php,English,1000+,Product,96500
32,Male,Hamburg,ML Engineer,4,1.5,Middle,"Python, Whole Apache Data Science Stack, AWS",German,101-1000,Consulting / Agency,37500
28,Female,Berlin,Backend Developer,3,2,Middle,Python,English,1000+,Product,65000
35,Male,Fr,Backend Developer,4,2.5,Middle,Java,English,51-100,Consulting / Agency,42000
36,Male,Berlin,Staff Engineer,15,4,Lead,Go,English,1000+,Product,88000
32,Male,Berlin,Designer (UI/UX),5,10,Senior,Java,German,up to 10,Startup,75000
22,Male,Frankfurt,Software Engineer,2,2,Junior,Java,German,1000+,Bank,52000
33,Male,Berlin,Head of IT,3,3,Head,Python,German,51-100,Product,120000
35,Male,Berlin,Backend Developer,13,5,Senior,Php,English,1000+,Product,68000
32,Female,Berlin,Computational linguist,5,5,Middle,Java,English,11-50,Product,50400
28,Male,Berlin,Product Analyst,4,0,Junior,SQL,English,1000+,Product,55000
30,Male,Hamburg,Data Scientist,5,5,Middle,Python,English,101-1000,Product,115000
40,Male,Munich,Data Engineer,15,7,Lead,SQL,English,101-1000,Product,100000
27,Female,Berlin,Data Scientist,5,2,Senior,Python ,English,101-1000,Product,75000
32,Male,Berlin,Backend Developer,10,5,Senior,Node.js,English,11-50,Startup,80000
33,Male,Munich,Software Engineer,5,5,Senior,Embedded C++,English,1000+,Consulting / Agency,124000
31,Male,Berlin,Data Engineer,4,2,Middle,Python,English,101-1000,Product,50000
32,Male,Munich,Software Engineer,10,3,Lead,Swift,English,101-1000,Product,80000
25,Male,Munich,Frontend Developer,7,1,Senior,JS,English,101-1000,Consulting / Agency,76000
34,Male,Munich,Software Engineer,10,4,Senior,C++,English,1000+,Product,74000
29,Male,Darmstadt,Data Scientist,5,2,Middle,Python,English,101-1000,Product,65000
29,Male,Darmstadt,Data Scientist,5,2,Middle,Python,English,101-1000,Product,65000
24,Male,Munich,DevOps,3,1,Junior,Go,English,1000+,FAANG,97000
35,Male,Frankfurt,Software Engineer,10,1,Senior,Java,English,101-1000,Consulting / Agency,65000
31,Male,Munich,DevOps,6,2,Middle,NodsJs,English,51-100,Consulting / Agency,62000
27,Male,Munich,Software Engineer,2,5,Junior,Java,English,101-1000,Product,70000
38,Male,Berlin,Full-Stack Developer,1,1,Junior,Javascript/Typescript,English,51-100,Startup,91000
34,Male,Munich,DevOps,12,2,Middle,Java,English,101-1000,Product,80000
35,Male,Darmstadt,Data Scientist,4,4,Senior,python,English,51-100,Product,72000
35,Male,Duesseldorf,DevOps,17,5,Senior,Linux,English,1000+,Consulting / Agency,87000
36,Male,Berlin,Backend Developer,10,3,Senior,Java,English,101-1000,Product,75000
29,Male,Berlin,DevOps,7,3,Senior,"Kuberenetes, Openstack",English,101-1000,Consulting / Agency,82000
35,Male,Berlin,Software Engineer,15,4,Senior,Java,English,101-1000,Product,95000
25,Female,Cambridge,Frontend Developer,4,0,Middle,JavaScript/Typescript,English,101-1000,Product,90000
24,Male,Berlin,ML Engineer,0.8,0.2,Junior,Python,English,11-50,Consulting / Agency,11500
34,Male,Cologne,CTO,14,2,Lead,C#,English,11-50,Product,176000
42,Male,Hamburg,Data Scientist,2,2,Senior,Python ,German,1000+,Old industry,87000
37,Female,Hamburg,QA Manager,7,7,Middle,java,German,101-1000,Product,48000
32,Male,Berlin,Mobile Developer,8,2,Senior,Swift,English,1000+,Product,75000
26,Female,Berlin,Mobile Developer,8,3,Middle,c++,German,101-1000,Product,42000
35,Male,Munich,Software Engineer,15,5,Head,SQL,English,11-50,Consulting / Agency,100000
43,Male,Munich,Product Manager,18,9,Lead,.NET,English,1000+,Product,121000
41,Male,Munich,Software Engineer,15,15,Senior,Kotlin,German,1000+,Product,100200
33,Male,Berlin,Backend Developer,8,6,Lead,NodeJS,English,101-1000,Product,110000
44,Male,Berlin,QA Lead,15,5,Lead,"JS, Java",English,11-50,Product,72000
28,Male,Berlin,ML Engineer,5,3,Middle,"Python, Pytorch",English,up to 10,Startup,64000
34,Female,Berlin,Designer (UI/UX),10,6,Senior,"PS, Sketch, React, CSS3",German,up to 10,Product,45000
28,Male,Brussels,Robotics Engineer,3,0,Middle,C++,English,up to 10,Startup,45000
26,Male,Stockholm,ML Engineer,2.5,0,Middle,Python/NLP,English,1000+,Product,120000
39,Male,Berlin,Software Engineer,15,4,Lead,Java,English,51-100,Startup,150000
32,Male,Copenhagen,Data Scientist,6,6,Senior,Python,English,up to 10,Startup,97000
27,Female,Lisbon,Backend Developer,3,0,Middle,Java,English,1000+,Consulting / Agency,18750
32,Female,Berlin,Software Engineer,2,2,Middle,Javascript,English,101-1000,Product,66000
25,Female,Berlin,Software Engineer,4,1,Middle,"Scala, Apache Spark",English,101-1000,Product,#VALUE!
37,Female,Berlin,Data Scientist,7,2,Head,Python,English,11-50,Startup,91000
56,Male,Munich,Software Engineer,30,19,Lead,c++,English,51-100,Product,220000
30,Male,Berlin,Data Scientist,4.5,2.5,Middle,Python,English,51-100,Startup,70000
27,Male,Munich,QA Engineer,6,4,Middle,Python,English,1000+,Product,145000
29,Male,Berlin,Software Engineer,6,1,Senior,Python,English,1000+,Product,80000
24,Male,Berlin,Mobile Developer,3.5,0.25,Middle,"Swift, Objective-C",English,1000+,Product,70000
27,Male,Berlin,Data Engineer,0,0,Junior,Python,German,1000+,Consulting / Agency,40000
28,Male,Berlin,Frontend Developer,7,5,Middle,React.js / TypeScript,English,101-1000,Product,62700
40,Male,Berlin,Data Engineer,14,0,Middle,"BI, DWH, ETL/ELT",English,101-1000,Product,60000
32,Male,Berlin,Backend Developer,9,5,Senior,Scala,English,101-1000,Product,90000
32,Male,Berlin,Software Engineer,11,1,Senior,Scala,English,1000+,Product,82500
30,Male,Berlin,Backend Developer,9,1,Senior,Scala,English,1000+,Startup,85000
30,Male,Berlin,Backend Developer,9,5,Senior,Scala,English,1000+,Product,175000
36,Male,Stuttgart,Mobile Developer,16,4,Lead,Java,English,51-100,Product,62500
33,Male,Berlin,Software Engineer,7,7,Senior,C++,English,1000+,Product,81800
33,Male,Berlin,Engineering Manager,15,4,Lead,Java,English,1000+,Product,100000
32,Male,Munich,Software Engineer,13,7,Middle,Java,English,1000+,Product,130000
34,Male,Berlin,Backend Developer,12,4,Senior,Kotlin,English,1000+,Product,82500
54,Male,Munich,Software Engineer,25,15,Middle,Python,English,1000+,Consulting / Agency,80000
28,Male,Sevilla,DatabEngineer,4,0,Middle,GCP,Spanish,51-100,Consulting / Agency,30000
28,Female,Berlin,Frontend Developer,5,2,Senior,javascript,English,1000+,Product,66000
29,Female,Berlin,Project Manager,6,"0,5",Middle,Web,English,101-1000,Startup,51000
38,Male,Berlin,Data Scientist,6,3,Lead,Python,English,1000+,Product,180000
33,Male,Berlin,Software Engineer,11,5,Senior,Scala,English,1000+,Product,197000
36,Male,Berlin,Backend Developer,12,0.5,Senior,Python,English,1000+,Startup,115000
36,Male,Berlin,Software Engineer,15,6,Senior,PHP,English,101-1000,Product,72000
37,Male,Aachen,QA Engineer,15,1,Senior,Python,English,101-1000,Product,77000
36,Male,Munich,Software Engineer,15,1,Senior,PL/SQL,English,1000+,Consulting / Agency,71000
35,Female,Munich,Application Consultant,"1,5","1,5",Junior,SAP,English,1000+,Consulting / Agency,48000
33,Male,Munich,Frontend Developer,10,6,Senior,Javascript,English,101-1000,Startup,105000
33,Male,Stuttgart,Team Lead,12,5,Lead,PHP,German,101-1000,Consulting / Agency,70200
31,Male,Berlin,Backend Developer,7,2,Senior,Go,English,101-1000,Product,75000
36,Male,Amsterdam,Mobile Developer,14,8,Senior,Swift,English,11-50,Consulting / Agency,75000
31,Male,Berlin,Software Engineer,9,5,Senior,scala,English,11-50,Startup,85000
36,Male,Regensburg,Software Engineer,10,10,Middle,C#,German,51-100,Consulting / Agency,72000
37,Male,Munich,DevOps,17,1,Senior,AWS,English,1000+,Consulting / Agency,90000
30,Male,Berlin,Consultant,3,3,Middle,Java,English,101-1000,Startup,58000
30,Male,Berlin,Software Engineer,11,1,Senior,Java / Scala,English,1000+,Product,180000
27,Male,Krakow,QA Engineer,5,1,Senior,java,English,101-1000,Product,35000
33,Female,Munich,Software Engineer,10,3,Senior,Java,English,11-50,Outsourse,47500
35,Male,Ingolstadt,Backend Developer,10,4,Lead,Magento,English,11-50,Startup,65000
26,Male,Berlin,Backend Developer,5,4,Middle,Java,English,1000+,Product,72000
29,Male,Berlin,Software Engineer,9,5,Senior,C++,English,1000+,Product,89000
31,Male,Berlin,Backend Developer,4,2,Middle,Ruby on Rails,English,11-50,Product,50000
24,Female,Munich,Software Engineer,less than year,less than year,student,"Python, database technologies",English,11-50,Startup,32640
36,Male,Berlin,Mobile Developer,10,10,Middle,Android,English,1000+,Product,70000
29,Male,Munich,Data Scientist,6,5,Middle,SQL,English,1000+,Product,100000
30,Female,Berlin,Frontend Developer,3,3,Lead,JavaScript ,English,101-1000,Product,57600
30,Male,Munich,Software Engineer,8,1,Senior,PHP,English,51-100,Product,69500
29,Male,Berlin,Backend Developer,5,5,Senior,Go,English,101-1000,Product,75000
34,Male,Berlin,Software Engineer,14,4,Lead,Java,English,1000+,Product,100000
30,Male,Berlin,Backend Developer,10,4,Lead,Java,English,101-1000,Startup,82000
34,Male,Prague,Backend Developer,14,0,Lead,C#,English,1000+,Product,130000
27,Male,Munich,Software Engineer,8,4,Senior,"C++, C#",English,11-50,Product,52000
26,Male,Munich,Mobile Developer,5,1,Middle,Kotlin,Russian,51-100,Startup,65000
35,Male,Munich,Software Engineer,12,5,Lead,python,English,51-100,Product,110000
44,Male,Munich,Software Architekt,20,20,Head,Java Backend,German,101-1000,Product,110000
34,Male,Ingolstadt ,Software Engineer,3.5,3.5,Junior,C++,German,1000+,Consulting / Agency,110000
45,Male,Munich,Software Engineer,20,20,Self employed,".net, c++, spss, embeddded",German,up to 10,freelance,215000
31,Male,Munich,Backend Developer,10,7,Senior,Ruby on Rails,English,101-1000,Startup,170000
24,Male,Berlin,Frontend Developer,5,2,Senior,TypeScript,English,101-1000,Product,68250
27,Male,Munich,Software Engineer,7,4,Middle,.NET,English,51-100,Consulting / Agency,63000
34,Male,Berlin,Frontend Developer,6,2,Middle,Javascript,English,101-1000,Startup,63000
28,Male,Munich,Software Engineer,7,3,Middle,Java,English,101-1000,Product,67000
25,Male,Berlin,ML Engineer,5,"0,5",Middle,Scala,English,1000+,Product,67000
35,Male,Karlsruhe,Software Engineer,12,7,Senior,".Net, Angular",English,1000+,Product,75000
33,Female,Munich,Testmanager,10,2,Junior,Java,German,1000+,Product,120000
39,Male,Berlin,QA Engineer,7,5,Senior,Java,English,1000+,Product,79000
37,Male,Berlin,Mobile Developer,15,5,Senior,Android,English,101-1000,Product,85700
27,Male,Frankfurt,Software Engineer,3,1,Middle,Qlik,German,11-50,Product,52000
31,Female,Berlin,Data Scientist,4,3,Middle,spark,English,1000+,Product,50500
32,Male,Munich,ERP Consultant,10,6,Lead,SAP,English,1000+,Product,130000
32,Male,Munich,Software Engineer,10,5,Head,Scala,English,11-50,Startup,95000
28,Male,Berlin,Frontend Developer,5,5,Middle,JavaScript,English,101-1000,Product,55000
34,Male,Zurich,Software Engineer,7,2,Senior,PHP,English,11-50,Startup,108500
31,Male,Berlin,Backend Developer,9,5,Senior,Java,English,51-100,Product,142000
33,Male,Berlin,Researcher/ Consumer Insights Analyst ,10,1.5,Senior,consumer analysis,English,1000+,Product,63000
39,Male,Munich,IT Operations Manager,15,2,Lead,PHP,English,101-1000,eCommerce,110000
26,Male,Saarbrücken,Frontend Developer,7,7,Middle,JavaScript,German,101-1000,Product,79300
26,Male,Berlin,DevOps,2,2,Middle,yaml,English,51-100,Startup,71500